kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
7106173,3083.03,CANDIDATE,8.294292900,1.5180000e-04,-1.5180000e-04,0.67,0.05,0.04,1.126,0.021,-0.020,1.149,0.041,-0.055
7106173,3083.01,CANDIDATE,10.183182330,9.8110000e-05,-9.8110000e-05,0.82,0.04,0.06,1.126,0.021,-0.020,1.149,0.041,-0.055
7107802,2420.02,CANDIDATE,5.467551400,6.1600000e-05,-6.1600000e-05,0.97,0.07,0.07,1.044,0.029,-0.027,1.034,0.058,-0.068
7107802,2420.01,CANDIDATE,10.417287220,6.6950000e-05,-6.6950000e-05,1.49,0.08,0.06,1.044,0.029,-0.027,1.034,0.058,-0.068
7109675,872.02,CANDIDATE,6.766529280,1.5770000e-05,-1.5770000e-05,1.73,0.06,0.09,0.819,0.021,-0.020,0.865,0.037,-0.045
7109675,872.01,CANDIDATE,33.601233710,1.7670000e-05,-1.7670000e-05,7.45,0.20,0.26,0.819,0.021,-0.020,0.865,0.037,-0.045
7115785,672.01,CANDIDATE,16.087862460,2.4740000e-05,-2.4740000e-05,2.54,0.06,0.28,0.909,0.018,-0.017,0.953,0.040,-0.051
7115785,672.02,CANDIDATE,41.749386130,6.6220000e-05,-6.6220000e-05,2.92,0.08,0.07,0.909,0.018,-0.017,0.953,0.040,-0.051
7119481,566.02,CANDIDATE,14.157371700,2.2730000e-04,-2.2730000e-04,1.22,0.10,0.09,1.064,0.031,-0.030,1.069,0.050,-0.067
7119481,566.01,CANDIDATE,25.854999780,8.5450000e-05,-8.5450000e-05,2.65,0.10,0.10,1.064,0.031,-0.030,1.069,0.050,-0.067
7119481,566.03,CANDIDATE,42.068554000,1.0610000e-03,-1.0610000e-03,1.45,0.08,0.12,1.064,0.031,-0.030,1.069,0.050,-0.067
